ticker,model,cost_bps_per_side,strategy_total_return_pct,strategy_annualized_pct,strategy_sharpe,strategy_max_drawdown_pct,buy_hold_total_return_pct,buy_hold_sharpe,excess_vs_buy_hold_pct,turnover
AAPL,Random Forest,0,976.4323310534763,46.25740963204474,2.021191371259431,20.917081365169153,351.0960984273046,0.8702092535725402,625.3362326261717,274.0
AAPL,Random Forest,5,838.6171901363564,43.086335249771054,1.881560403069892,21.475092717914592,350.6462795882084,0.8695601685290741,487.97091054814797,274.0
AAPL,Random Forest,10,718.3903578062965,39.98247909821604,1.744721886336833,22.029446219535785,350.1966851320945,0.8689101590410379,368.193672674202,274.0
AAPL,Random Forest,20,522.0353621242255,33.97088057258764,1.4794376227675026,23.627876566597077,349.29816936880724,0.867607372359763,172.73719275541822,274.0
AAPL,XGBoost,0,661.7392835885057,38.38499949656733,1.6412467426551036,33.812233358362974,351.0960984273046,0.8702092535725402,310.64318516120113,454.0
AAPL,XGBoost,5,507.2221541035431,33.45523590062249,1.4306458782612839,35.90462363851829,350.6462795882084,0.8695601685290741,156.5758745153347,454.0
AAPL,XGBoost,10,383.993646496762,28.698755008186016,1.2271119444969096,37.931868824167225,350.1966851320945,0.8689101590410379,33.79696136466748,454.0
AAPL,XGBoost,20,207.3802510830014,19.68181142415606,0.8407847763928057,41.798851786505246,349.29816936880724,0.867607372359763,-141.91791828580583,454.0
MSFT,Ridge / Logistic,0,337.65477666622064,26.64296437475484,1.1404369036881397,25.033691531552886,315.16311856302747,0.8711898247207106,22.491658103193174,560.0
MSFT,Ridge / Logistic,5,230.8455339502735,21.098857055761734,0.9031380261828532,26.78976273840735,314.7482319463015,0.8705216391400409,-83.90269799602797,560.0
MSFT,Ridge / Logistic,10,150.0680087679856,15.794865268717917,0.6759316035005098,28.823969339326368,314.33355273833837,0.8698523730556746,-164.26554397035278,560.0
MSFT,Ridge / Logistic,20,42.804330898597165,5.866515910932768,0.250730200723587,42.47953171191454,313.5048165486926,0.8685106058051864,-270.7004856500954,560.0
MSFT,Random Forest,0,325.70471002453775,26.0832377802674,1.012876994765214,32.30605914254286,315.16311856302747,0.8711898247207106,10.54159146151028,386.0
MSFT,Random Forest,5,250.98263754842978,22.249108669448113,0.8636415424280594,33.51763255030121,314.7482319463015,0.8705216391400409,-63.765594397871695,386.0
MSFT,Random Forest,10,189.34825787550454,18.529742113082293,0.7188527108348297,34.70811337229411,314.33355273833837,0.8698523730556746,-124.98529486283383,386.0
MSFT,Random Forest,20,96.59178362607138,11.42187387256859,0.4423643212412726,37.14993647966154,313.5048165486926,0.8685106058051864,-216.9130329226212,386.0
MSFT,XGBoost,0,579.8573168193886,35.889795209712695,1.5022926673806833,34.1073324215243,315.16311856302747,0.8711898247207106,264.6941982563612,474.0
MSFT,XGBoost,5,436.4279267300033,30.834361923506503,1.2899691541473606,35.80335006188455,314.7482319463015,0.8705216391400409,121.67969478370185,474.0
MSFT,XGBoost,10,323.2076463272661,25.96461421584837,1.0853921369719517,37.4565321819944,314.33355273833837,0.8698523730556746,8.874093588927735,474.0
MSFT,XGBoost,20,163.31956012762942,16.755486914143745,0.6988495254700664,40.6386088265758,313.5048165486926,0.8685106058051864,-150.18525642106317,474.0
NVDA,Ridge / Logistic,0,1172.2615648277051,50.221545298556514,1.1911264376286326,56.038443048972496,2232.5444102169163,1.2375066825975651,-1060.2828453892112,584.0
NVDA,Ridge / Logistic,5,850.344033329698,43.3708752010175,1.028555509138823,56.03844304897251,2230.2213052246143,1.237023947471381,-1379.8772718949162,584.0
NVDA,Ridge / Logistic,10,609.7770348112605,36.82942784333376,0.8732737110872336,56.03844304897251,2227.8993576438065,1.2365406642979624,-1618.1223228325462,584.0
NVDA,Ridge / Logistic,20,295.74351753342137,24.619558853614198,0.5834181103532315,59.547222520836925,2223.2589347166627,1.2355724548296771,-1927.5154171832414,584.0
NVDA,Random Forest,0,3140.043934061507,74.45689711680691,1.5831573295271744,56.30536416686665,2232.5444102169163,1.2375066825975651,907.4995238445908,292.0
NVDA,Random Forest,5,2700.4738598808594,70.43431667084555,1.4975373610113383,58.12655376913087,2230.2213052246143,1.237023947471381,470.25255465624514,292.0
NVDA,Random Forest,10,2320.3629691622245,66.50254647634036,1.4137973901578325,59.87269286349893,2227.8993576438065,1.2365406642979624,92.46361151841802,292.0
NVDA,Random Forest,20,1707.5211312424296,58.9034554547897,1.2518283057270019,63.15192628852909,2223.2589347166627,1.2355724548296771,-515.737803474233,292.0
NVDA,XGBoost,0,862.5978874217165,43.66506863496713,1.0680880253050697,64.24074965074205,2232.5444102169163,1.2375066825975651,-1369.9465227951998,486.0
NVDA,XGBoost,5,655.0663123860916,38.19031764850551,0.9340693497591874,66.02515177132699,2230.2213052246143,1.237023947471381,-1575.1549928385227,486.0
NVDA,XGBoost,10,492.2056442848093,32.92161421823791,0.8050540115124248,67.72134149552149,2227.8993576438065,1.2365406642979624,-1735.6937133589972,486.0
NVDA,XGBoost,20,264.1572825264642,22.972000997869646,0.5614024099539435,70.86615315235798,2223.2589347166627,1.2355724548296771,-1959.1016521901984,486.0
JPM,Ridge / Logistic,0,53.88026120123942,7.139413927369143,0.28866104755570654,40.10745514963661,153.18010879747595,0.5282178121561336,-99.29984759623653,612.0
JPM,Ridge / Logistic,5,13.318549074661526,2.0206675302533617,0.08170807746918733,42.633450546423305,152.92702443230849,0.5276640345983429,-139.60847535764697,612.0
JPM,Ridge / Logistic,10,-16.564164486071604,-2.8559022343948692,-0.11546534438961929,47.13709462080263,152.67406662472928,0.5271094193442883,-169.23823111080088,612.0
JPM,Ridge / Logistic,20,-54.78774669114815,-11.927366141557593,-0.4817378998362728,67.15714088237135,152.16853068234028,0.5259976796962362,-206.95627737348843,612.0
JPM,Random Forest,0,106.6840078555333,12.317932334211545,0.43555387806658524,42.97571022378409,153.18010879747595,0.5282178121561336,-46.49610094194266,322.0
JPM,Random Forest,5,75.94471550033501,9.461197848031233,0.3345261784186931,43.20577432315108,152.92702443230849,0.5276640345983429,-76.98230893197348,322.0
JPM,Random Forest,10,49.76508844934759,6.675747311958902,0.23599789325282505,43.43502587595237,152.67406662472928,0.5271094193442883,-102.90897817538169,322.0
JPM,Random Forest,20,8.486122864108388,1.3117623588350336,0.04633884369238109,46.03217899566329,152.16853068234028,0.5259976796962362,-143.6824078182319,322.0
JPM,XGBoost,0,116.7439447792457,13.175263870397425,0.4891649127191979,44.391279510382944,153.18010879747595,0.5282178121561336,-36.43616401823026,446.0
JPM,XGBoost,5,73.47894940304425,9.214294668338452,0.34234144015483026,45.81705529571644,152.92702443230849,0.5276640345983429,-79.44807502926423,446.0
JPM,XGBoost,10,38.83478282153723,5.39007792794941,0.2003629609420572,47.20696045141728,152.67406662472928,0.5271094193442883,-113.83928380319205,446.0
JPM,XGBoost,20,-11.109331720142945,-1.8665680457432887,-0.06942026254335357,59.74024545835418,152.16853068234028,0.5259976796962362,-163.2778624024832,446.0
